"experiment_id","subnetwork_id","role","node_id","source_id","esinr_db","kl_distance"
"35","1","Member","13","1","9.99","0.7858"
"35","1","Member","9","1","9.02","1.1182"
"35","1","Member","6","1","10.59","1.5820"
"35","2","Anchor","5","2","10.32","0.0000"
"35","2","Member","8","2","8.88","2.8613"
"35","2","Member","7","2","6.73","1.9110"
"35","3","Anchor","15","3","9.56","0.0000"
"35","3","Member","17","3","8.83","2.5812"
"35","3","Member","14","3","8.78","2.5322"
"35","3","Member","18","3","8.80","2.7335"
"36","1","Anchor","15","3","11.00","0.0000"
"36","1","Member","17","3","6.18","1.1515"
"36","1","Member","18","3","9.45","1.6450"
"36","1","Member","14","3","6.99","1.2915"
"36","2","Anchor","5","2","10.11","0.0000"
"36","2","Member","8","2","6.48","0.8750"
"36","2","Member","7","2","8.75","1.4052"
"36","3","Anchor","12","1","9.01","0.0000"
"36","3","Member","13","1","7.63","2.1000"
"36","3","Member","9","1","8.43","0.8505"
"36","3","Member","6","1","7.91","0.7245"
"37","1","Anchor","15","3","11.13","0.0000"
"37","1","Member","17","3","10.49","0.8698"
"37","1","Member","18","3","10.45","2.2452"
"37","1","Member","14","3","9.45","1.7027"
"37","2","Anchor","12","1","10.04","0.0000"
"37","2","Member","6","1","8.66","2.5673"
"37","2","Member","9","1","9.34","0.6650"
"37","2","Member","13","1","8.26","2.6460"
"37","3","Anchor","5","2","9.05","0.0000"
"37","3","Member","7","2","7.36","1.5890"
"37","3","Member","8","2","7.56","2.2260"
"38","1","Anchor","5","2","10.86","0.0000"
"38","1","Member","7","2","8.92","1.2950"
"38","1","Member","8","2","9.52","0.8015"
"38","2","Anchor","12","1","9.99","0.0000"
"38","2","Member","9","1","8.43","1.6205"
"38","2","Member","13","1","6.10","2.3905"
"38","2","Member","6","1","8.34","2.7440"
"38","3","Anchor","15","3","9.23","0.0000"
"38","3","Member","14","3","7.16","2.5217"
"38","3","Member","18","3","7.23","2.2645"
"38","3","Member","17","3","7.39","2.7107"
"39","1","Anchor","12","1","11.51","0.0000"
"39","1","Member","9","1","10.95","1.1252"
"39","1","Member","6","1","9.75","1.0377"
"39","1","Member","13","1","6.83","0.9065"
"39","2","Anchor","15","3","10.63","0.0000"
"39","2","Member","17","3","7.38","1.5942"
"39","2","Member","18","3","9.42","1.2372"
"39","2","Member","14","3","9.99","2.5042"
"39","3","Anchor","5","2","9.81","0.0000"
"39","3","Member","7","2","9.29","2.7177"
"39","3","Member","8","2","7.88","2.1858"
"40","1","Anchor","5","2","10.89","0.0000"
"40","1","Member","7","2","9.59","1.0605"
"40","1","Member","4","2","10.07","2.2767"
"40","1","Member","8","2","6.56","2.0195"
"40","2","Anchor","15","3","9.76","0.0000"
"40","2","Member","17","3","8.10","1.6940"
"40","2","Member","18","3","6.93","0.7123"
"40","2","Member","14","3","6.66","2.7352"
"40","3","Anchor","12","1","8.98","0.0000"
"40","3","Member","9","1","7.92","1.2180"
"40","3","Member","6","1","7.50","2.3013"
"40","3","Member","13","1","8.59","2.8105"
"41","1","Anchor","15","3","11.30","0.0000"
"41","1","Member","14","3","9.72","2.0282"
"41","1","Member","17","3","6.38","2.5987"
"41","1","Member","18","3","10.72","1.6362"
"41","2","Anchor","12","1","10.22","0.0000"
"41","2","Member","9","1","9.50","1.2792"
"41","2","Member","13","1","9.32","1.0693"
"41","2","Member","6","1","8.77","2.0790"
"41","3","Anchor","5","2","9.27","0.0000"
"41","3","Member","7","2","8.34","1.0973"
"41","3","Member","8","2","6.56","1.2127"
"42","1","Anchor","15","3","10.89","0.0000"
"42","1","Member","17","3","9.17","1.3562"
"42","1","Member","18","3","8.90","2.0370"
"42","1","Member","14","3","9.30","2.3223"
"42","2","Anchor","5","2","9.96","0.0000"
"42","2","Member","7","2","7.44","0.6650"
"42","2","Member","8","2","8.80","0.6878"
"42","3","Anchor","12","1","9.21","0.0000"
"42","3","Member","13","1","6.60","1.6362"
"42","3","Member","9","1","6.94","2.6705"
"42","3","Member","6","1","8.18","2.3363"
"43","1","Anchor","5","2","11.59","0.0000"
"43","1","Member","8","2","10.22","0.9030"
"43","1","Member","7","2","7.21","1.9163"
"43","2","Anchor","15","3","10.64","0.0000"
"43","2","Member","18","3","8.25","1.2880"
"43","2","Member","14","3","9.00","0.9643"
"43","2","Member","17","3","10.09","2.3380"
"43","3","Anchor","12","1","9.89","0.0000"
"43","3","Member","9","1","9.14","2.4115"
"43","3","Member","13","1","8.09","1.7430"
"43","3","Member","6","1","6.18","1.0080"
"44","1","Anchor","5","2","11.11","0.0000"
"44","1","Member","7","2","8.99","2.7423"
"44","1","Member","8","2","10.39","1.6502"
"44","2","Anchor","12","1","10.32","0.0000"
"44","2","Member","9","1","8.82","1.6590"
"44","2","Member","13","1","9.31","0.8802"
"44","2","Member","6","1","8.59","2.0737"
"44","3","Anchor","15","3","9.30","0.0000"
"44","3","Member","17","3","8.07","2.8262"
"44","3","Member","14","3","6.91","2.4832"
"44","3","Member","18","3","8.36","1.3877"
"45","1","Anchor","12","1","11.62","0.0000"
"45","1","Member","6","1","9.58","2.3905"
"45","1","Member","13","1","9.28","1.7903"
"45","1","Member","9","1","11.05","2.8053"
"45","2","Anchor","15","3","10.44","0.0000"
"45","2","Member","14","3","8.93","1.1235"
"45","2","Member","18","3","8.60","2.2138"
"45","2","Member","17","3","9.00","2.6005"
"45","3","Anchor","5","2","9.40","0.0000"
"45","3","Member","4","2","6.20","2.3205"
"45","3","Member","7","2","8.66","0.6423"
"45","3","Member","8","2","8.79","2.6338"
"46","1","Anchor","12","1","11.33","0.0000"
"46","1","Member","9","1","9.47","1.7850"
"46","1","Member","13","1","10.25","1.5593"
"46","1","Member","6","1","7.78","2.5253"
"46","2","Anchor","5","2","10.19","0.0000"
"46","2","Member","8","2","8.98","1.8322"
"46","2","Member","7","2","8.75","1.6170"
"46","3","Anchor","15","3","9.07","0.0000"
"46","3","Member","14","3","8.00","2.4920"
"46","3","Member","17","3","8.49","2.1858"
"46","3","Member","18","3","7.49","0.6703"
"47","1","Anchor","5","2","10.85","0.0000"
"47","1","Member","8","2","9.53","2.7650"
"47","1","Member","7","2","10.41","1.8970"
"47","2","Anchor","15","3","9.98","0.0000"
"47","2","Member","18","3","6.81","1.8603"
"47","2","Member","17","3","6.47","1.9198"
"47","2","Member","14","3","6.08","1.6118"
"47","3","Anchor","12","1","9.23","0.0000"
"47","3","Member","6","1","7.95","1.6660"
"47","3","Member","13","1","6.98","2.4972"
"47","3","Member","9","1","7.89","1.2180"
"48","1","Anchor","15","3","11.01","0.0000"
"48","1","Member","14","3","9.23","2.8280"
"48","1","Member","18","3","9.94","2.4815"
"48","1","Member","17","3","9.75","1.0605"
"48","2","Anchor","12","1","10.27","0.0000"
"48","2","Member","13","1","7.46","2.7352"
"48","2","Member","9","1","7.28","1.2985"
"48","2","Member","6","1","9.58","0.8820"
"48","3","Anchor","5","2","9.30","0.0000"
"48","3","Member","7","2","6.61","0.9363"
"48","3","Member","8","2","6.16","1.8287"
"49","1","Anchor","12","1","11.35","0.0000"
"49","1","Member","9","1","10.38","1.9565"
"49","1","Member","6","1","7.31","0.7700"
"49","1","Member","13","1","10.52","1.0010"
"49","2","Anchor","5","2","10.41","0.0000"
"49","2","Member","8","2","9.39","0.7770"
"49","2","Member","7","2","6.47","0.8768"
"49","3","Anchor","15","3","9.45","0.0000"
"49","3","Member","14","3","6.25","2.7527"
"49","3","Member","17","3","8.23","2.1227"
"49","3","Member","18","3","8.70","1.0517"
"50","1","Anchor","5","2","11.38","0.0000"
"50","1","Member","7","2","10.33","1.8620"
"50","1","Member","8","2","7.20","0.7053"
"50","2","Anchor","12","1","10.37","0.0000"
"50","2","Member","13","1","9.46","1.1235"
"50","2","Member","6","1","8.25","2.3398"
"50","2","Member","9","1","7.38","2.8087"
"50","3","Anchor","15","3","9.47","0.0000"
"50","3","Member","14","3","8.06","1.0833"
"50","3","Member","17","3","8.85","1.5487"
"50","3","Member","18","3","8.67","1.3895"
